Retirement,Debut Age (yrs),Longest Gap b/w innings,Time of best moving avg,No of innings,Time of worst moving avg,time of better score than 20% best scores
34.11232877,20.83287671,703,0.790575916,191,0.272251309,0.837696335
26.03561644,23.15890411,337,0.515151515,33,0.939393939,0.96969697
36.19452055,27.97534247,318,0.715328467,137,0.532846715,0.890510949
22.14794521,19.61917808,346,0.392857143,28,0.928571429,1
29.0630137,21.78356164,1018,0.541666667,24,0.958333333,0.666666667
33.70136986,21.18082192,241,0.405498282,291,0.934707904,0.93814433
29.28219178,23.20547945,1211,0.434782609,23,0.565217391,0.782608696
27.78082192,23.16164384,1062,0.590909091,22,0.818181818,1
35.34246575,25.49589041,322,0.319148936,94,0.159574468,0.904255319
38.66027397,23.42465753,328,0.366037736,265,0.328301887,0.939622642
33.96164384,25.89863014,1454,0.8125,32,0.3125,0.9375
38.03287671,19.8109589,800,0.815028902,173,0.994219653,0.930635838
24.95890411,22.10684932,350,0.8,25,0.44,0.8
35.84931507,25.23561644,1224,0.128205128,78,0.230769231,1
29.61917808,22.37534247,371,0.483870968,62,0.322580645,0.822580645
37.70684932,30.58082192,414,0.223214286,112,0.901785714,0.767857143
29.83561644,20.82191781,2278,0.333333333,36,0.888888889,0.666666667
30.81643836,22.92054795,1895,0.487804878,41,0.243902439,0.634146341
34.48767123,24.39178082,1497,0.333333333,30,0.8,0.833333333
36.94520548,24.53150685,348,0.710344828,145,0.337931034,0.972413793
34.1260274,25.83287671,322,0.72173913,115,0.486956522,0.956521739
35.0739726,23.90410959,343,0.515789474,190,0.463157895,0.889473684
33.06575342,25.51232877,1108,0.62295082,61,0.278688525,0.786885246
29.56164384,21.32328767,1062,0.280701754,57,0.877192982,0.964912281
25.4,23.70958904,273,0.791666667,24,0.625,0.708333333
41.19726027,23.62191781,1147,0.424870466,193,0.191709845,0.953367876
25.3890411,22.2630137,588,0.454545455,22,0.772727273,0.863636364
32.2739726,28.7260274,286,0.947368421,38,0.657894737,1
35.40547945,22.34520548,828,0.80794702,151,0.874172185,1
30.43561644,22.56438356,322,0.783783784,111,0.27027027,0.765765766
35.89589041,21.6630137,480,0.348837209,215,0.702325581,0.706976744
30.11780822,22.47123288,1197,0.977777778,45,0.755555556,0.955555556
33.55890411,22.35616438,280,0.565853659,205,0.941463415,0.887804878
30.38082192,21.41643836,776,0.666666667,63,0.476190476,0.984126984
33.70958904,21.6739726,699,0.493506494,154,0.344155844,0.88961039
32.51506849,18.37260274,1466,0.5,92,0.315217391,0.945652174
39.10410959,18.52054795,1147,0.936507937,126,0.46031746,0.984126984
35.88767123,22.25479452,238,0.790960452,177,0.446327684,0.93220339
23.43561644,19.1260274,546,0.75,40,0.5,0.825
31.62739726,20.95068493,2806,0.5,30,0.333333333,1
36.51232877,19.3260274,384,0.455026455,189,0.894179894,0.783068783
28.57260274,24.67671233,768,0.423076923,26,0.769230769,0.961538462
32.98356164,24.2739726,385,0.244444444,90,0.522222222,0.8
35.21643836,28.77534247,503,0.813953488,43,0.558139535,0.88372093
44.85753425,26.86027397,5206,0.636363636,22,0.772727273,1
36.11506849,22.17260274,785,0.807692308,182,0.071428571,0.769230769
35.19726027,19.77534247,371,0.342391304,184,0.255434783,0.940217391
30.46575342,23.41369863,1086,0.36,50,0.2,0.9
32.30684932,27.43561644,720,0.933333333,30,0.6,0.933333333
37.66849315,24.53972603,1441,0.709923664,131,0.595419847,0.923664122
30.85205479,25.02739726,455,0.888888889,36,0.527777778,0.888888889
28.71780822,23.67671233,684,0.743589744,39,0.256410256,0.948717949
37.18082192,22.34520548,1106,0.456521739,184,0.989130435,0.85326087
34.18356164,24.24931507,259,0.11827957,186,0.768817204,0.930107527
35.30410959,20.87123288,311,0.150485437,206,0.101941748,0.898058252
37.18082192,22.34520548,1106,0.456521739,184,0.989130435,0.85326087
33.25205479,21.21643836,328,0.481132075,212,0.16509434,0.905660377
34.52054795,25.72328767,1077,0.472222222,36,0.972222222,0.638888889
31.48219178,23.27945205,511,0.297709924,131,0.480916031,0.816793893
34.38356164,23.51232877,310,0.707070707,198,0.898989899,0.803030303
25.57808219,19.25205479,1142,0.863636364,22,0.681818182,0.863636364
31.68493151,22.84657534,992,0.35443038,79,0.987341772,0.683544304
33.32328767,19.56164384,953,0.597222222,72,0.930555556,0.791666667
30.94520548,22.79726027,831,0.512820513,39,0.717948718,1
33.37534247,26.93424658,441,0.177419355,62,0.5,0.85483871
24.15616438,21.57260274,193,0.344827586,29,0.931034483,1
27.1369863,18.93150685,412,0.909090909,55,0.363636364,0.909090909
34.60821918,27.52054795,637,0.756521739,115,0.991304348,0.87826087
29.88219178,22.56164384,970,0.531914894,47,0.276595745,0.85106383
34.69863014,21.55068493,860,0.712765957,94,0.829787234,0.85106383
34.88767123,23.81369863,1152,0.789473684,57,0.543859649,0.947368421
37.95068493,20.96986301,326,0.407665505,287,0.243902439,0.958188153
30.59726027,22.45479452,1225,0.418604651,43,0.976744186,0.744186047
31.1890411,26.24383562,572,0.911764706,34,0.294117647,0.882352941
36.83287671,31.72054795,223,0.735849057,53,0.188679245,0.905660377
32.56712329,18.88493151,404,0.951612903,124,0.39516129,0.943548387
31.35890411,22.37260274,498,0.262295082,61,0.967213115,0.573770492
30.36712329,18.64383562,1446,0.833333333,48,0.541666667,0.8125
27.99726027,24.20273973,489,0.5,30,0.966666667,0.866666667
31.24931507,24.25753425,394,0.225806452,93,0.591397849,0.64516129
33.40273973,19.58356164,335,0.994535519,183,0.863387978,0.967213115
